Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_42_962.jpg;0;0;0.4065806;0;99.6704;85.58948;0.01196545;50.36488;-2.66429E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_031.jpg;0;0;0.5995799;0;99.67042;85.58949;0.01004163;50.36488;-3.339014E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_095.jpg;0;0;0.8112649;0;99.67042;85.58949;0.008497804;50.36489;-3.602899E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_164.jpg;0;0;1;0;99.67043;85.58949;0.006907788;50.36489;-4.119624E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_228.jpg;0;0;1;0;99.67043;85.58949;0.005304887;50.36489;-4.458549E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_298.jpg;0;0;1;0;99.67044;85.58949;0.003202737;50.36489;-4.170901E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_365.jpg;0;0;1;0;99.67044;85.58949;0.001689022;50.36489;-2.998265E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_429.jpg;0;0;1;0;99.67045;85.58949;0.0002574223;50.3649;-2.409309E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_497.jpg;0;0;1;0;99.67046;85.5895;-0.001486775;50.3649;-1.313802E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_565.jpg;0;0;1;0;99.67047;85.58951;-0.002649233;50.36491;-8.958265E-07
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_630.jpg;0;0;1;0;99.67047;85.58952;-0.003979842;50.36491;2.403323E-07
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_696.jpg;0;0;1;0;99.67046;85.58952;-0.004801947;50.3649;5.683139E-07
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_762.jpg;0;0;1;0;99.67046;85.58951;-0.005467079;50.3649;9.716468E-07
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_827.jpg;0;0;1;0;99.67045;85.5895;359.994;50.3649;1.667318E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_894.jpg;0;0;1;0;99.67045;85.5895;359.9936;50.36489;2.342666E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_43_962.jpg;0;0;1;0;99.67044;85.58949;359.9934;50.36489;3.189353E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_032.jpg;0;0;1;0;99.67044;85.58949;359.9935;50.36489;3.81947E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_098.jpg;0;0;0;0;99.67045;85.5895;359.9936;50.36489;4.378508E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_162.jpg;0;0;0;0;99.67045;85.5895;359.9939;50.3649;4.736818E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_231.jpg;0;0.2018444;0;0;99.67139;85.59064;0.02609576;50.33008;-2.653869E-06
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_298.jpg;0;0.4002019;0;0.01728291;99.67316;85.59277;0.0846514;50.45023;-0.0001524921
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_363.jpg;0;0.5924535;0;0.02454029;99.67596;85.59616;0.1727701;50.29983;0.0002168328
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_430.jpg;0;0.8016129;0;0.06304286;99.68174;85.60313;0.3418221;50.52579;-0.0008545892
C:\Users\Ian Suarez\RoboND-Rover-Project\mytest_dataset\IMG\robocam_2018_04_16_00_28_44_495.jpg;0;0.9953043;0;0.1247456;99.68938;85.61239;0.5507939;50.56715;-7.868422E-05
